pH_Condition,U_V,Current_mA_cm2
pH=1,-0.5219512195121949,-13.180555555555555
pH=1,-0.5210817524841915,-13.006806657848324
pH=1,-0.5184033423667569,-11.930447163433277
pH=1,-0.5130465221318881,-10.372558421516755
pH=1,-0.5130465221318881,-10.712461419753089
pH=1,-0.5103681120144534,-9.31036155202822
pH=1,-0.5050112917795844,-8.219839432686655
pH=1,-0.50233288166215,-7.355919312169313
pH=1,-0.4969760614272809,-6.718601190476191
pH=1,-0.4942976513098465,-6.3291290049970605
pH=1,-0.4889408310749774,-5.868843694885362
pH=1,-0.4862624209575428,-5.4345231971389385
pH=1,-0.4809056007226739,-5.028527949245543
pH=1,-0.4782271906052393,-4.641416201254165
pH=1,-0.4728703703703703,-4.282629703115815
pH=1,-0.4701919602529358,-3.900238830099941
pH=1,-0.4648351400180668,-3.6028237066431514
pH=1,-0.4621567299006324,-3.310129458161865
pH=1,-0.455460704607046,-2.887611147854204
pH=1,-0.4474254742547425,-2.3848379629629632
pH=1,-0.4353726287262871,-1.790007716049383
pH=1,-0.4259981933152665,-1.4430234053497943
pH=1,-0.4076957241794638,-0.9921798451891046
pH=1,-0.3773404095152064,-0.5861845972957087
pH=1,-0.3396194670280035,-0.3170947236919459
pH=1,-0.2996665161096057,-0.175468474426808
pH=1,-0.2537764227642276,-0.0706650499706054
pH=1,-0.2121717856067448,-0.0385631001371744
pH=1,-0.191190906353508,-0.0338422251616696
pH=1,-0.1256097560975608,0.0
pH=1,-0.0609756097560973,0.0128968253968251
pH=1,-0.0001309846431796,-0.0055169753086419
pH=1,0.1048780487804879,0.0
pH=1,0.1975609756097562,0.0
pH=1,0.2304878048780487,0.0
pH=2,-0.621951219512195,-13.154761904761903
pH=2,-0.6215221318879856,-12.957237470605524
pH=2,-0.6201829268292682,-12.638578409758964
pH=2,-0.6175045167118338,-12.142886537330982
pH=2,-0.6121476964769648,-10.882412918871252
pH=2,-0.6121476964769648,-11.363942166372722
pH=2,-0.6094692863595303,-10.117631172839506
pH=2,-0.6094692863595303,-10.457534171075835
pH=2,-0.6041124661246613,-9.46615042621987
pH=2,-0.6041124661246613,-9.777728174603174
pH=2,-0.6014340560072267,-8.805227929649226
pH=2,-0.6014340560072267,-9.12624742798354
pH=2,-0.5960772357723576,-8.352023932000783
pH=2,-0.5933988256549232,-7.767647051104392
pH=2,-0.5880420054200541,-7.126484788359788
pH=2,-0.5853635953026197,-6.692636378110915
pH=2,-0.5800067750677507,-6.033130144032922
pH=2,-0.5773283649503163,-5.656404320987654
pH=2,-0.5733107497741643,-5.274013447971782
pH=2,-0.5692931345980126,-4.976598324514992
pH=2,-0.5652755194218608,-4.65793926366843
pH=2,-0.5612579042457091,-4.316620002939446
pH=2,-0.5572402890695574,-3.992295892122281
pH=2,-0.5518834688346883,-3.546173206937096
pH=2,-0.5465266485998193,-3.2345954585537924
pH=2,-0.5398306233062331,-2.7719497109543405
pH=2,-0.5317953929539294,-2.309303963354889
pH=2,-0.523760162601626,-1.9221922153635116
pH=2,-0.513939325504366,-1.5161969674701157
pH=2,-0.4980474254742546,-1.1243643445032334
pH=2,-0.4809056007226739,-0.8148098282522884
pH=2,-0.4532286961758507,-0.4917670977856163
pH=2,-0.4273373983739836,-0.3049553308977915
pH=2,-0.3914467028003614,-0.1613058495002941
pH=2,-0.3643947606142728,-0.0904927248677247
pH=2,-0.2499999999999997,-0.0128968253968255
pH=2,0.0,0.0128968253968251
pH=2,0.2000000000000001,0.0
pH=2,0.2353658536585365,0.0
pH=2.5,-1.6146341463414635,-13.16765873015873
pH=2.5,-1.6109756097560977,-13.0
pH=2.5,-1.605837850045167,-12.808529908877132
pH=2.5,-1.60449864498645,-12.574846597589652
pH=2.5,-1.599141824751581,-12.440301660787773
pH=2.5,-1.5964634146341463,-12.242024911816578
pH=2.5,-1.593785004516712,-12.107479975014698
pH=2.5,-1.5897673893405602,-11.972935038212816
pH=2.5,-1.5884281842818428,-11.838390101410935
pH=2.5,-1.5857497741644084,-11.73217041446208
pH=2.5,-1.5803929539295394,-11.470161853321576
pH=2.5,-1.579053748870822,-11.378104791299236
pH=2.5,-1.573696928635953,-11.212874167156574
pH=2.5,-1.5710185185185186,-11.080689667842446
pH=2.5,-1.568340108401084,-10.957946918479326
pH=2.5,-1.5643224932249322,-10.79743716931217
pH=2.5,-1.5603048780487805,-10.740786669606116
pH=2.5,-1.5589656729900634,-10.577916482951204
pH=2.5,-1.5536088527551943,-10.40796498383304
pH=2.5,-1.5482520325203253,-10.3159079218107
pH=2.5,-1.5397704004817827,-10.212048672349598
pH=2.5,-1.5290567600120446,-10.13179379776602
pH=2.5,-1.5183431195423065,-10.056259798157946
pH=2.5,-1.5094150858175248,-10.0090510484029
pH=2.5,-1.4946838301716352,-9.94767967372134
pH=2.5,-1.4844165913881362,-9.900470923966294
pH=2.5,-1.473256549232159,-9.862703924162258
pH=2.5,-1.4625429087624209,-9.855622611699
pH=2.5,-1.451829268292683,-9.830838018077602
pH=2.5,-1.4330803974706414,-9.764745768420536
pH=2.5,-1.422366757000903,-9.791890799529687
pH=2.5,-1.4112067148449263,-9.791890799529687
pH=2.5,-1.4022786811201446,-9.730519424848127
pH=2.5,-1.388886630532972,-9.919354423868311
pH=2.5,-1.3862082204155377,-9.692752425044093
pH=2.5,-1.3772801866907558,-9.796611674505192
pH=2.5,-1.3665665462210177,-9.768286424652166
pH=2.5,-1.3540672990063234,-9.749402924750148
pH=2.5,-1.3522816922613672,-9.645543675289044
pH=2.5,-1.3397824450466729,-9.78244904957868
pH=2.5,-1.3263903944595,-9.631381050362531
pH=2.5,-1.3232655826558266,-9.806053424456202
pH=2.5,-1.315230352303523,-9.791890799529687
pH=2.5,-1.3071951219512197,-9.692752425044093
pH=2.5,-1.2969278831677205,-9.735240299823634
pH=2.5,-1.2857678410117437,-9.749402924750148
pH=2.5,-1.2750542005420056,-9.749402924750148
pH=2.5,-1.2737149954832885,-9.664427175191063
pH=2.5,-1.2616621499548328,-9.756484237213405
pH=2.5,-1.2509485094850947,-9.760024893445031
pH=2.5,-1.2397884673291175,-9.739961174799138
pH=2.5,-1.2272892201144234,-9.739961174799138
pH=2.5,-1.2228252032520326,-9.770646862139918
pH=2.5,-1.2107723577235774,-9.69629308127572
pH=2.5,-1.198719512195122,-9.636101925338036
pH=2.5,-1.198719512195122,-9.749402924750148
pH=2.5,-1.183988256549232,-9.78480948706643
pH=2.5,-1.178185034628124,-9.72107767489712
pH=2.5,-1.1692570009033425,-9.692752425044093
pH=2.5,-1.1598825654923215,-9.735240299823634
pH=2.5,-1.1491689250225836,-9.770646862139918
pH=2.5,-1.1424728997289972,-9.645543675289044
pH=2.5,-1.1344376693766938,-9.697473300019595
pH=2.5,-1.125063233965673,-9.671508487654322
pH=2.5,-1.125063233965673,-9.74232161228689
pH=2.5,-1.1143495934959349,-9.657345862727809
pH=2.5,-1.103635953026197,-9.636101925338036
pH=2.5,-1.0875654923215898,-9.738780956055262
pH=2.5,-1.0764054501656126,-9.692752425044093
pH=2.5,-1.067477416440831,-9.735240299823634
pH=2.5,-1.0656918096958747,-9.636101925338036
pH=2.5,-1.055156729900632,-9.73429612482853
pH=2.5,-1.0487285456187894,-9.749402924750148
pH=2.5,-1.044710930442638,-9.621939300411524
pH=2.5,-1.0317652815417042,-9.678589800117578
pH=2.5,-1.0219444444444443,-9.607776675485008
pH=2.5,-1.0206052393857272,-9.74232161228689
pH=2.5,-1.0076595904847938,-9.65970630021556
pH=2.5,-0.997838753387534,-9.551126175778954
pH=2.5,-0.993374736525143,-9.716356799921614
pH=2.5,-0.9898035230352304,-9.806053424456202
pH=2.5,-0.9799826859379704,-9.654985425240056
pH=2.5,-0.9697154471544716,-9.735240299823634
pH=2.5,-0.9630194218608852,-9.692752425044093
pH=2.5,-0.959269647696477,-9.595502400548694
pH=2.5,-0.9482881662149956,-9.632561269106407
pH=2.5,-0.940252935862692,-9.579451425631982
pH=2.5,-0.926057362240289,-9.553958700764255
pH=2.5,-0.9161472448057814,-9.473231738683127
pH=2.5,-0.9076656127672388,-9.522800925925926
pH=2.5,-0.9054336043360434,-9.501556988536157
pH=2.5,-0.8947199638663054,-9.65026455026455
pH=2.5,-0.8840063233965673,-9.409499926513815
pH=2.5,-0.88266711833785,-9.626660175387029
pH=2.5,-0.8732926829268293,-9.381174676660788
pH=2.5,-0.8719534778681121,-9.522800925925926
pH=2.5,-0.8625790424570913,-9.31036155202822
pH=2.5,-0.8518654019873532,-9.194700115128356
pH=2.5,-0.8438301716350497,-9.225385802469136
pH=2.5,-0.8362413429689853,-9.367012051734276
pH=2.5,-0.8304381210478772,-9.182897927689597
pH=2.5,-0.8290989159891599,-9.437825176366845
pH=2.5,-0.8215993676603432,-9.10641975308642
pH=2.5,-0.8210636856368564,-9.022388178522435
pH=2.5,-0.8121356519120748,-8.861878429355281
pH=2.5,-0.8023148148148147,-8.767460929845189
pH=2.5,-0.7926725383920505,-8.6758759553204
pH=2.5,-0.7889227642276422,-8.87132017930629
pH=2.5,-0.7862443541102078,-8.75801917989418
pH=2.5,-0.7835659439927734,-8.573905055849501
pH=2.5,-0.7795483288166214,-8.46060405643739
pH=2.5,-0.7735219060523939,-8.244624026308054
pH=2.5,-0.7661562782294489,-8.06169012100725
pH=2.5,-0.76079945799458,-7.964912184009407
pH=2.5,-0.7541034327009937,-7.846890309621791
pH=2.5,-0.7500858175248419,-7.69346187291789
pH=2.5,-0.7453985998193315,-7.56835868606702
pH=2.5,-0.7420505871725385,-7.455057686654909
pH=2.5,-0.7380329719963865,-7.38424456202234
pH=2.5,-0.7362473652514303,-7.280385312561238
pH=2.5,-0.729997741644083,-7.067945938663531
pH=2.5,-0.723748118036736,-6.912157064471879
pH=2.5,-0.7206233062330623,-6.683194628159907
pH=2.5,-0.7166056910569105,-6.510882691553988
pH=2.5,-0.7125880758807588,-6.303164192631787
pH=2.5,-0.7112488708220415,-6.4070234420928855
pH=2.5,-0.7058920505871724,-6.081283068783069
pH=2.5,-0.7045528455284553,-5.996307319223986
pH=2.5,-0.7005352303523036,-5.83579757005683
pH=2.5,-0.6965176151761518,-5.741380070546738
pH=2.5,-0.6911607949412828,-5.557265946502058
pH=2.5,-0.6884823848238482,-5.451046259553204
pH=2.5,-0.688035983137609,-5.336958447645177
pH=2.5,-0.681786359530262,-5.099341073878112
pH=2.5,-0.6728583258054803,-4.787763325494808
pH=2.5,-0.6719655224330021,-4.655578826180678
pH=2.5,-0.6683943089430895,-4.480906452087007
pH=2.5,-0.6643766937669378,-4.183491328630218
pH=2.5,-0.6576806684733514,-3.9380058299039775
pH=2.5,-0.6523238482384823,-3.772775205761317
pH=2.5,-0.6483062330623306,-3.496604019694298
pH=2.5,-0.6442886178861789,-3.390384332745444
pH=2.5,-0.6429494128274615,-3.2345954585537924
pH=2.5,-0.6402710027100271,-3.1212944591416814
pH=2.5,-0.6362533875338754,-2.9655055849500296
pH=2.5,-0.6322357723577237,-2.845123273074662
pH=2.5,-0.6268789521228546,-2.6468465241034687
pH=2.5,-0.6255397470641373,-2.540626837154615
pH=2.5,-0.6228613369467029,-2.4414884626690188
pH=2.5,-0.6161653116531165,-2.264455651087596
pH=2.5,-0.6121476964769648,-2.167677714089752
pH=2.5,-0.6094692863595303,-2.059097589653145
pH=2.5,-0.6041124661246613,-1.9033087154614927
pH=2.5,-0.602773261065944,-1.7404385288065845
pH=2.5,-0.5974164408310749,-1.61297490446796
pH=2.5,-0.5920596205962059,-1.492592592592593
pH=2.5,-0.5867028003613368,-1.3722102807172254
pH=2.5,-0.581345980126468,-1.237665343915344
pH=2.5,-0.5746499548328816,-1.091318219674701
pH=2.5,-0.5639363143631435,-0.9308084705075448
pH=2.5,-0.55590108401084,-0.8033448461689203
pH=2.5,-0.5478658536585366,-0.7042064716833236
pH=2.5,-0.5389378199337549,-0.6050680971977269
pH=2.5,-0.5282241794640168,-0.5012088477366254
pH=2.5,-0.5184033423667569,-0.4351165980795612
pH=2.5,-0.5063504968383017,-0.3666639109347445
pH=2.5,-0.4951904546823245,-0.3123738487164411
pH=2.5,-0.4862624209575428,-0.2698859739368999
pH=2.5,-0.4742095754290876,-0.2321189741328631
pH=2.5,-0.4634959349593495,-0.1931717555849501
pH=2.5,-0.455460704607046,-0.1613058495002941
pH=2.5,-0.4206413730803975,-0.0904927248677247
pH=2.5,-0.3573170731707316,0.0
pH=2.5,0.0,0.0128968253968251
pH=2.5,0.1987804878048784,0.0257936507936507
